view	pattern	depth	control_cells_per_block	controls_available	model	model_kind	metric	metric_direction	task_count	allocation_count	tuples_per_allocation	mean_score	undefined_values
direct_state	direct_state	128	1024	3072	selected_CPA	state	centroid_accuracy	higher	55	30	3	0.5609652076318741	0
direct_state	direct_state	128	1024	3072	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	0.09275262305821323	0
direct_state	direct_state	128	1024	3072	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	0.1315293332522501	0
direct_state	direct_state	128	1024	3072	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	-0.09991128464033494	0
direct_state	direct_state	128	1024	3072	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	0.5279461279461278	0
direct_state	direct_state	128	1024	3072	additive	state	standardized_MSE	lower	55	30	3	0.02619516713620195	0
direct_state	direct_state	128	1024	3072	additive	state	raw_RMSE	lower	55	30	3	0.0689669535513437	0
direct_state	direct_state	128	1024	3072	additive	state	perturbation_centred_Pearson	higher	55	30	3	0.7960862159356359	0
direct_state	direct_state	128	1024	3072	additive	state	centroid_accuracy	higher	55	30	3	0.9717171717171719	0
direct_state	direct_state	128	1024	3072	compositional_ridge	state	standardized_MSE	lower	55	30	3	0.02540393107127663	0
direct_state	direct_state	128	1024	3072	compositional_ridge	state	raw_RMSE	lower	55	30	3	0.06642597886538056	0
direct_state	direct_state	128	1024	3072	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	0.7559513028323471	0
direct_state	direct_state	128	1024	3072	compositional_ridge	state	centroid_accuracy	higher	55	30	3	0.8898989898989899	0
direct_state	direct_state	128	1024	3072	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	0.1030066224020455	0
direct_state	direct_state	128	1024	3072	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	0.1403132029464746	0
direct_state	direct_state	128	1024	3072	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	-0.2492367657317343	0
direct_state	direct_state	128	1024	3072	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	0.4999999999999998	0
direct_state	direct_state	128	1024	3072	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	0.0210638960462991	0
direct_state	direct_state	128	1024	3072	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	0.06113431200647815	0
